config,run_name,model,problem,algorithm,reward,penalty,temperature,prompt,noise,final_r2,best_r2,final_loss,valid_rate
base_infix_n1,run-20260223_131039-e7rotpl3,augustocsc/gpt2_base_infix_682k,nguyen_1,best_of_n,,,cosine_annealing,distractor,0.0,0,0.0,0,0
base_infix_n1,run-20260223_131118-9vmu5pea,augustocsc/gpt2_base_infix_682k,nguyen_1,best_of_n,,,cosine_annealing,distractor,0.01,0,0.0,0,0
base_infix_n1,run-20260223_131129-zc22iaod,augustocsc/gpt2_base_infix_682k,nguyen_1,best_of_n,,,cosine_annealing,distractor,0.05,0,0.0,0,0
base_infix_n1,run-20260223_131141-fjojlrjp,augustocsc/gpt2_base_infix_682k,nguyen_1,best_of_n,,,cosine_annealing,distractor,0.1,0,0.0,0,0
base_infix_n1,run-20260223_131152-aly5he1j,augustocsc/gpt2_base_infix_682k,nguyen_1,best_of_n,,,cosine_annealing,oracle,0.0,0,0.0,0,0
base_infix_n1,run-20260223_131203-9j9t72b2,augustocsc/gpt2_base_infix_682k,nguyen_1,best_of_n,,,cosine_annealing,oracle,0.01,0,0.0,0,0
base_infix_n1,run-20260223_131215-o9nydmq2,augustocsc/gpt2_base_infix_682k,nguyen_1,best_of_n,,,cosine_annealing,oracle,0.05,0,0.0,0,0
base_infix_n1,run-20260223_131226-60g53283,augustocsc/gpt2_base_infix_682k,nguyen_1,best_of_n,,,cosine_annealing,oracle,0.1,0,0.0,0,0
base_infix_n1,run-20260223_131238-rnsndqnx,augustocsc/gpt2_base_infix_682k,nguyen_1,best_of_n,,,cosine_annealing,standard,0.0,0,0.0,0,0
base_infix_n1,run-20260223_131249-h79wk6ja,augustocsc/gpt2_base_infix_682k,nguyen_1,best_of_n,,,cosine_annealing,standard,0.01,0,0.0,0,0
base_infix_n1,run-20260223_131301-m55q6i04,augustocsc/gpt2_base_infix_682k,nguyen_1,best_of_n,,,cosine_annealing,standard,0.05,0,0.0,0,0
base_infix_n1,run-20260223_131313-4787zlbj,augustocsc/gpt2_base_infix_682k,nguyen_1,best_of_n,,,cosine_annealing,standard,0.1,0,0.0,0,0
base_infix_n1,run-20260223_131324-xuk8iutn,augustocsc/gpt2_base_infix_682k,nguyen_1,best_of_n,,,fixed_0.7,distractor,0.0,0,0.0,0,0
base_infix_n1,run-20260223_131336-ofieozaz,augustocsc/gpt2_base_infix_682k,nguyen_1,best_of_n,,,fixed_0.7,distractor,0.01,0,0.0,0,0
base_infix_n1,run-20260223_131348-jzr0e0lv,augustocsc/gpt2_base_infix_682k,nguyen_1,best_of_n,,,fixed_0.7,distractor,0.05,0,0.0,0,0
base_infix_n1,run-20260223_131359-20ho3io3,augustocsc/gpt2_base_infix_682k,nguyen_1,best_of_n,,,fixed_0.7,distractor,0.1,0,0.0,0,0
base_infix_n1,run-20260223_131410-eemh99zf,augustocsc/gpt2_base_infix_682k,nguyen_1,best_of_n,,,fixed_0.7,oracle,0.0,0,0.0,0,0
base_infix_n1,run-20260223_131421-f5frpy4w,augustocsc/gpt2_base_infix_682k,nguyen_1,best_of_n,,,fixed_0.7,oracle,0.01,0,0.0,0,0
base_infix_n1,run-20260223_131433-eqrr2xil,augustocsc/gpt2_base_infix_682k,nguyen_1,best_of_n,,,fixed_0.7,oracle,0.05,0,0.0,0,0
base_infix_n1,run-20260223_131444-fmmdeqf0,augustocsc/gpt2_base_infix_682k,nguyen_1,best_of_n,,,fixed_0.7,oracle,0.1,0,0.0,0,0
base_infix_n1,run-20260223_131456-kudmr6lo,augustocsc/gpt2_base_infix_682k,nguyen_1,best_of_n,,,fixed_0.7,standard,0.0,0,0.0,0,0
base_infix_n1,run-20260223_131507-kqqorpo2,augustocsc/gpt2_base_infix_682k,nguyen_1,best_of_n,,,fixed_0.7,standard,0.01,0,0.0,0,0
base_infix_n1,run-20260223_131519-z27p1e1s,augustocsc/gpt2_base_infix_682k,nguyen_1,best_of_n,,,fixed_0.7,standard,0.05,0,0.0,0,0
base_infix_n1,run-20260223_131530-yix34bxb,augustocsc/gpt2_base_infix_682k,nguyen_1,best_of_n,,,fixed_0.7,standard,0.1,0,0.0,0,0
base_infix_n1,run-20260223_131542-yfjnjw4j,augustocsc/gpt2_base_infix_682k,nguyen_1,best_of_n,,,fixed_0.9,distractor,0.0,0,0.0,0,0
base_infix_n1,run-20260223_131553-0lkn7zhv,augustocsc/gpt2_base_infix_682k,nguyen_1,best_of_n,,,fixed_0.9,distractor,0.01,0,0.0,0,0
