problem,algo,n_seeds,mean_r2,std_r2,median_r2,solved_999,mean_best_step,mean_complexity,valid_min,valid_final,kl_max,buffer_used,unique_total
nguyen_3,best_of_n,5,0.9976528217816449,0.0006139797114619911,0.9978639379328889,0/5,,12.2,,,,,
nguyen_3,bon_ppo,5,0.9955638023706987,0.005487604326980264,0.9979243629270727,1/5,197.8,15.0,0.4163710907331879,0.649127177690843,0.6296674257254795,38612.8,44304.8
nguyen_3,pure_grpo,5,0.9851876985871486,0.007278828945619747,0.9848618186017953,0/5,5.0,17.8,0.0126953125,0.96884765625,0.3449234435282493,0.0,5265.8
nguyen_3,pure_ppo,5,0.9922416328700647,0.007499612990077192,0.994992460216503,0/5,43.8,15.8,0.21640625,0.44666015625,0.5854407724072077,0.0,35321.4
nguyen_5,best_of_n,5,0.6262132426798915,0.0198245346957947,0.6291625128810625,0/5,,13.4,,,,,
nguyen_5,bon_grpo,4,0.27949267653536525,0.23665016584112916,0.17259457499027075,0/4,199.0,17.0,0.015836553686604873,0.7803132931147784,0.3380526821819013,433.5,5915.5
nguyen_5,bon_ppo,5,0.8572241407010562,0.2855517185978874,1.0,4/5,199.0,13.6,0.4194460961264664,0.5644245866712005,0.30052686525334443,5196.6,55594.0
nguyen_5,pure_grpo,5,0.26771840544383857,0.23628640725294178,0.11260015213381347,0/5,4.0,17.2,0.0099609375,0.9140429687499999,0.6036482868875775,0.0,5139.2
nguyen_5,pure_ppo,5,0.754665694212639,0.24909484691130845,0.8453717174160367,2/5,70.8,16.0,0.1546875,0.19095703125000002,0.3688088717941062,0.0,47941.8
nguyen_7,best_of_n,5,0.9988273040251622,0.0003941599879258183,0.9988212275401434,1/5,,12.0,,,,,
nguyen_7,bon_grpo,1,0.9987983012563171,0.0,0.9987983012563171,0/1,199.0,11.0,0.16612377850162866,0.16612377850162868,0.33035955895834107,40702.0,5571.0
nguyen_7,bon_ppo,2,0.9988673165204223,0.00032397619943963507,0.9988673165204223,1/2,195.0,16.5,0.6199590697971877,0.9321661237785017,0.4140504704246389,40676.5,55533.5
nguyen_7,pure_grpo,5,0.9986772257948552,0.00018804542068276927,0.9987983012563171,0/5,3.8,11.0,0.0111328125,0.6281640625,0.33593936673443003,0.0,4477.8
nguyen_7,pure_ppo,5,0.9984630549963931,0.0003674806950980499,0.9985380459883734,0/5,95.0,12.2,0.22578125,0.38146484375,0.5058566358371367,0.0,36221.0
nguyen_9,pure_grpo,1,0.5256892583806733,0.0,0.5256892583806733,0/1,0.0,15.0,0.0078125,0.96005859375,0.4079597480595112,0.0,6519.0
